"date","day","time","name","cap"
"2021-09-23","Thursday","16:00","NorthDeck",31
"2021-09-23","Thursday","16:00","SouthVillageDeck",49
"2021-09-23","Thursday","16:00","UnionDeckLower",30
"2021-09-23","Thursday","16:00","UnionDeckUpper",17
"2021-09-23","Thursday","16:00","WestDeck",31
"2021-09-23","Thursday","16:30","ConeDeckFaculty/Staff",33
"2021-09-23","Thursday","16:30","ConeDeckVisitor",9
"2021-09-23","Thursday","16:30","CRIDeck",10
"2021-09-23","Thursday","16:30","EastDeck1",21
"2021-09-23","Thursday","16:30","EastDeck2/3",12
"2021-09-23","Thursday","16:30","NorthDeck",30
"2021-09-23","Thursday","16:30","SouthVillageDeck",49
"2021-09-23","Thursday","16:30","UnionDeckLower",27
"2021-09-23","Thursday","16:30","UnionDeckUpper",13
"2021-09-23","Thursday","16:30","WestDeck",26
"2021-09-23","Thursday","17:00","ConeDeckFaculty/Staff",23
"2021-09-23","Thursday","17:00","ConeDeckVisitor",7
"2021-09-23","Thursday","17:00","CRIDeck",10
"2021-09-23","Thursday","17:00","EastDeck1",17
"2021-09-23","Thursday","17:00","EastDeck2/3",11
"2021-09-23","Thursday","17:00","NorthDeck",29
"2021-09-23","Thursday","17:00","SouthVillageDeck",48
"2021-09-23","Thursday","17:00","UnionDeckLower",28
"2021-09-23","Thursday","17:00","UnionDeckUpper",10
"2021-09-23","Thursday","17:00","WestDeck",22
"2021-09-23","Thursday","17:30","ConeDeckFaculty/Staff",8
"2021-09-23","Thursday","17:30","ConeDeckVisitor",7
"2021-09-23","Thursday","17:30","CRIDeck",9
"2021-09-23","Thursday","17:30","EastDeck1",14
"2021-09-23","Thursday","17:30","EastDeck2/3",9
"2021-09-23","Thursday","17:30","NorthDeck",29
"2021-09-23","Thursday","17:30","SouthVillageDeck",46
"2021-09-23","Thursday","17:30","UnionDeckLower",28
"2021-09-23","Thursday","17:30","UnionDeckUpper",9
"2021-09-23","Thursday","17:30","WestDeck",17
"2021-09-23","Thursday","18:00","ConeDeckFaculty/Staff",3
"2021-09-23","Thursday","18:00","ConeDeckVisitor",8
"2021-09-23","Thursday","18:00","CRIDeck",9
"2021-09-23","Thursday","18:00","EastDeck1",11
"2021-09-23","Thursday","18:00","EastDeck2/3",9
"2021-09-23","Thursday","18:00","NorthDeck",28
"2021-09-23","Thursday","18:00","SouthVillageDeck",45
"2021-09-23","Thursday","18:00","UnionDeckLower",26
"2021-09-23","Thursday","18:00","UnionDeckUpper",8
"2021-09-23","Thursday","18:00","WestDeck",16
"2021-09-23","Thursday","18:30","ConeDeckFaculty/Staff",2
"2021-09-23","Thursday","18:30","ConeDeckVisitor",8
"2021-09-23","Thursday","18:30","CRIDeck",9
"2021-09-23","Thursday","18:30","EastDeck1",11
"2021-09-23","Thursday","18:30","EastDeck2/3",8
"2021-09-23","Thursday","18:30","NorthDeck",28
"2021-09-23","Thursday","18:30","SouthVillageDeck",45
"2021-09-23","Thursday","18:30","UnionDeckLower",25
"2021-09-23","Thursday","18:30","UnionDeckUpper",6
"2021-09-23","Thursday","18:30","WestDeck",15
"2021-09-23","Thursday","19:00","ConeDeckFaculty/Staff",1
"2021-09-23","Thursday","19:00","ConeDeckVisitor",7
"2021-09-23","Thursday","19:00","CRIDeck",8
"2021-09-23","Thursday","19:00","EastDeck1",11
"2021-09-23","Thursday","19:00","EastDeck2/3",8
"2021-09-23","Thursday","19:00","NorthDeck",28
"2021-09-23","Thursday","19:00","SouthVillageDeck",44
"2021-09-23","Thursday","19:00","UnionDeckLower",25
"2021-09-23","Thursday","19:00","UnionDeckUpper",7
"2021-09-23","Thursday","19:00","WestDeck",13
"2021-09-23","Thursday","19:30","ConeDeckFaculty/Staff",0
"2021-09-23","Thursday","19:30","ConeDeckVisitor",7
"2021-09-23","Thursday","19:30","CRIDeck",8
"2021-09-23","Thursday","19:30","EastDeck1",11
"2021-09-23","Thursday","19:30","EastDeck2/3",9
"2021-09-23","Thursday","19:30","NorthDeck",30
"2021-09-23","Thursday","19:30","SouthVillageDeck",44
"2021-09-23","Thursday","19:30","UnionDeckLower",24
"2021-09-23","Thursday","19:30","UnionDeckUpper",6
"2021-09-23","Thursday","19:30","WestDeck",11
"2021-09-23","Thursday","20:00","ConeDeckFaculty/Staff",0
"2021-09-23","Thursday","20:00","ConeDeckVisitor",7
"2021-09-23","Thursday","20:00","CRIDeck",8
"2021-09-23","Thursday","20:00","EastDeck1",10
"2021-09-23","Thursday","20:00","EastDeck2/3",9
"2021-09-23","Thursday","20:00","NorthDeck",30
"2021-09-23","Thursday","20:00","SouthVillageDeck",45
"2021-09-23","Thursday","20:00","UnionDeckLower",24
"2021-09-23","Thursday","20:00","UnionDeckUpper",7
"2021-09-23","Thursday","20:00","WestDeck",9
"2021-09-23","Thursday","20:30","ConeDeckFaculty/Staff",0
"2021-09-23","Thursday","20:30","ConeDeckVisitor",6
"2021-09-23","Thursday","20:30","CRIDeck",7
"2021-09-23","Thursday","20:30","EastDeck1",8
"2021-09-23","Thursday","20:30","EastDeck2/3",8
"2021-09-23","Thursday","20:30","NorthDeck",32
"2021-09-23","Thursday","20:30","SouthVillageDeck",46
"2021-09-23","Thursday","20:30","UnionDeckLower",17
"2021-09-23","Thursday","20:30","UnionDeckUpper",2
"2021-09-23","Thursday","20:30","WestDeck",8
"2021-09-23","Thursday","21:00","ConeDeckFaculty/Staff",0
"2021-09-23","Thursday","21:00","ConeDeckVisitor",6
"2021-09-23","Thursday","21:00","CRIDeck",7
"2021-09-23","Thursday","21:00","EastDeck1",7
"2021-09-23","Thursday","21:00","EastDeck2/3",6
"2021-09-23","Thursday","21:00","NorthDeck",34
"2021-09-23","Thursday","21:00","SouthVillageDeck",47
"2021-09-23","Thursday","21:00","UnionDeckLower",13
"2021-09-23","Thursday","21:00","UnionDeckUpper",0
"2021-09-23","Thursday","21:00","WestDeck",7
"2021-09-23","Thursday","21:30","ConeDeckFaculty/Staff",0
"2021-09-23","Thursday","21:30","ConeDeckVisitor",6
"2021-09-23","Thursday","21:30","CRIDeck",7
"2021-09-23","Thursday","21:30","EastDeck1",6
